Başlık, Vücut Kimliği, Duruş
 YPG Doğruladı: Gill Rosenberg Kobani'de Yakalanmadı,2037, kabul etmek
 Dünyanın en gizli devleti Kuzey Kore gerçekten İskoçya'da yeni bir restoran mı planlıyor?,2418, tartışmak
 Kim Jong Un'un yokluğunda kız kardeşi iktidarda olabilir. Ya da olmayabilir.,1836, tartışmak
 Kim Jong-un 'Kırık Ayak Bileklerinden Ameliyat Oldu',1854, tartışmak
 IŞİD Sınır Krizi: DHS Şefi Teröristlerin Meksika Üzerinden ABD'ye Girmediğini Söyledi,1398, tartışmak
 IŞİD Militanı “Cihatçı John” Genç Batı Londralı Olarak Tanımlandı,1346, tartışmak
James Foley 'cesur ve yorulmak bilmez' gazeteci olarak anılıyor,1016, kabul etmek
 Sosyal medyada #Hairgate trendi: iPhone 6 kullanıcıları kopan saçlarından şikayetçi,1738, tartışmak
 Macaulay Culkin Başka Bir Çevrimiçi Ölüm Sahtekarlığının Kurbanı Oldu,1174, kabul etmek
 Kız arkadaşının yatakta iyi olmadığını söylemesi üzerine adam kendi penisini kesti,592, kabul etmek
 Pentagon: IŞİD'in ele geçirdiği malzemeler Kürtlere havadan atıldı,2509, tartışmak
 Predator İHA'nın Suriye'deki IŞİD yuvasının üzerinde görüldüğü bildirildi; hava saldırıları IŞİD hedeflerini vurdu,2129, tartışmak
 Steve Jobs Biyografisi Seth Rogen'ın Apple Kurucu Ortağı Steve Wozniak'ı Canlandırmasını Hedefliyor,1002, tartışmak
" Christian Bale, Steve Jobs'ı Canlandırmak İçin Görüşülüyor (Özel)",2455, tartışmak
" iOS 8 hatasının, ayarlar sıfırlandığında iCloud Drive belgelerini sildiği bildiriliyor",2054, tartışmak
 Michael Brown saldırısına ilişkin ses kaydının ortaya çıktığı bildirildi,2287, tartışmak
 IŞİD Ebola'ya Yakalanıyor,1974, tartışmak
RAPOR: Batmobile Detroit'te Çalınmış Olabilir,1459, tartışmak
 Tanrı bir kadındır - 48 dakika ölen rahip iddia ediyor,1521, aynı fikirde olmamak
" İslamcı Militanlar, ABD'li Gazetecinin Başının Kesildiğini Gösterdiğini İddia Eden Bir Video Yayınladı",1336, tartışmak
 Beyaz Saray Çit Atlayıcısı Aslında İçeride Oldukça Uzaklara Ulaştı,843, tartışmak
" Nikaragua hükümeti, göktaşının Nikaragua'da büyük bir krater oluşturduğunu söylüyor",1661, tartışmak
 Kanadalı kadının IŞİD tarafından kaçırıldığı iddiasıyla ilgili çelişkili haberler,1774, tartışmak
" ABD, Somali terör örgütü liderinin ölümünü doğruladı",1256, kabul etmek
 Bali örümceği Avustralyalının göğsünün altına giriyor,1321, aynı fikirde olmamak
 Bu dünyanın en eski burgeri mi? Adam McDonald's Quarter Pounder'ı 20 YIL sakladığını iddia ediyor,628, tartışmak
 Herkes sakin olsun! Banksy tutuklanmadı,2051, kabul etmek
 Çok Hızlıydı: Christian Bale Steve Jobs Biyografisinden Vazgeçti,945, aynı fikirde olmamak
" Christian Bale, Sony'nin Bir Sonraki Biyografisinde Steve Jobs'ı Canlandırmak İçin Görüşmelerde",2211, aynı fikirde olmamak
 IŞİD militanları klor gazıyla 300 Irak askerini öldürdü,1136, tartışmak
Boko Haram'ın 'Ateşkesi'nin İhlal Edilmesinin Ardından Kızların Serbest Bırakılmasına Yönelik Umutlar Tükendi,955, aynı fikirde olmamak
 Peynir bağımlılığı Kim Jong-un'un ayak bileklerini kırdı,2417, tartışmak
 Silahlaştırılmış Ebola mı? IŞİD Militanlarının Ölümcül Virüse Yakalandığı Söyleniyor,2003, tartışmak
" Türk Lider, ABD Hava İndirmelerinin IŞİD Militanlarına Yardım Ettiğini Söyledi",2172, kabul etmek
 Michael Brown'ın Vurulmasıyla İlgili İddia Edilen Ses Kaydı Polis Memuru Darren Wilson İçin İyi Duyulmuyor,2345, tartışmak
 NBC hava durumu sunucusu canlı yayında ormanda idrar yaparken yakalandı,1926, aynı fikirde olmamak
" Katolik rahip 48 dakika öldü, uyandığında Tanrı'nın bir kadın olduğunu iddia etti",2445, aynı fikirde olmamak
" Boko Haram: Kaçırılan Kızlar Evlendirildi, Ateşkes Hiçbir Zaman Gerçekleşmedi",2139, kabul etmek
 Kayıp Amerikalı gazetecinin IŞİD tarafından başının kesildiği bildirildi,2524, tartışmak
 Libya: Kayıp Libya Uçakları Güvenlik Endişelerine Yol Açtı,2010, tartışmak
 Nikaragua'da Yapılan Bir Meteor Kraterini Görün,1913, kabul etmek
 CNN ses kaydı: Michael Brown'ın vurulduğu an bu mu?,2235, tartışmak
 Başlıyor: Tehlikeli Madde Giyen Yolcu Havaalanında Görüldü,1955, tartışmak
 Ferguson isyanları: Michael Brown'ın vurulması ses kaydında kaydedilmiş olabilir,721, tartışmak
" Boko Haram Alman rehinesi olduğunu iddia ediyor, ateşkesi yalanlıyor",2139, kabul etmek
" Nijerya, kaçırılan kızların serbest bırakılması için Boko Haram ile anlaşma yaptığını duyurdu",1430, tartışmak
" PGA Tour, Tiger Woods'un Uyuşturucu Testinden Geçemediği İddiasını Reddetti",1339, kabul etmek
"Sahte Çin Haber Sitesi Washington Post, Atlantic ve BBC'yi Nasıl Kandırdı?",1789, aynı fikirde olmamak
 Altın Apple Watch Edition fiyatı? Spekülatörler en az 10.000 dolar diyor,790, tartışmak
 Elon Üniversitesi söylentilere rağmen 'birinci sınıf öğrencisi' terimini yasaklamadı,655, aynı fikirde olmamak
" Apple Watch fiyatlandırması: Altın versiyon için 5000 dolar, paslanmaz çelik versiyon için 500 dolar harcar mısınız?",1458, tartışmak
 Yemen'de kurtarma girişiminde Amerikalı rehine öldürüldü - üst düzey yetkili,2318, tartışmak
" Nikaragua'nın başkentine meteor düştü, 16 fit derinliğinde krater oluştu",1573, aynı fikirde olmamak
 ABD'li yetkililer: Video Amerikalı'nın infazını gösteriyor,933, tartışmak
" Tren istasyonunda terk edilen köpek, bavuluyla mutlu sona hazırlanıyor, teklifler yağıyor",2483, kabul etmek
" Araştırma Tıbbi Merkezi, bir hastanın Ebola'ya yakalandığı yönündeki haberleri yalanladı",1943, kabul etmek
" Rahibe, mide ağrısından şikayet ettikten sonra sürpriz bir bebek doğurdu",1307, tartışmak
" Nijerya, Boko Haram ile ateşkesin kabul edildiğini duyurdu",1540, tartışmak
 Kayıp Libya jet uçakları 11 Eylül'de terör saldırısı korkusunu artırıyor,1312, kabul etmek
 Vice Squad'ın 1 milyon dolarlık zaferi Las Vegas'ı aydınlattı,1834, kabul etmek
" IŞİD, YouTube Videosunda Amerikalı Foto Muhabirinin Kafasını Kesmiş Gibi Görünüyor",2096, tartışmak
" DSÖ, IŞİD savaşçılarının Ebola'ya yakalandığına dair medya haberlerini araştırıyor",938, tartışmak
 Seth Rogen'ın Steve Jobs'un yaklaşan filminde Woz'u oynayacağı bildirildi,1262, tartışmak
 Kayıp Meksikalı öğrenciler 'toplu mezarda bulunamadı',702, kabul etmek
 iPhone 6 Gerçekten Saçınızı Yoluyor Mu?,1769, tartışmak
" James Foley: Amerikalı Gazeteci James Wright Foley, Yeni IŞİD Videosunda Başı Kesildi [Son Dakika Haberleri]",2147, tartışmak
" Türkiye Cumhurbaşkanı, Kürt savaşçılara yönelik Amerikan silah yardımının, malzemelerin IŞİD'in eline geçmesinin ardından 'yanlış' olduğunu söyledi",2295, tartışmak
 Herkesin 'Banksy' Tarafından Paylaştığı Fotoğraf Banksy'ye Ait Değil - Ama Muhteşem,1584, tartışmak
Balıkçının Ağzı Açık Bırakan Avının Gerçeküstü Fotoğrafları Muhtemelen İnsanların Bunun Gerçek Olup Olmadığını Merak Etmesine Neden Olacak,1028, tartışmak
 Medya kuruluşları 'Cihatçı John'u teşhis etti,867, tartışmak
 Ateşkes iddiasına rağmen Nijerya Boko Haram baskınlardan sorumlu tutuldu,1681, tartışmak
GCPD Çalınan Batmobile Davasını Çözdü mü?,1313, tartışmak
" Seth Rogen, Danny Boyle'un Steve Jobs biyografisinde Steve Wozniak'ı canlandıracak",1141, tartışmak
 İddiaya Göre Brown'a Ateş Etme Kaydında Silah Sesleri Duyuluyor [SES],398, tartışmak
 IŞİD Savaşçıları ABD-Meksika Sınırını Geçerken Yakalanıyor mu?,2385, tartışmak
" Kuzey Kore diktatörü Kim Jong-un, askeri tur sırasında iki ayağını kırdıktan sonra ameliyat oldu",2153, tartışmak
" IŞİD militanlarının, kaçırılan Amerikalı gazeteci James Wright Foley'in kafasını kestiği çarpıcı videoda ortaya çıktı",1336, tartışmak
 Gazeteci James Wright Foley'in IŞİD cihatçıları tarafından ABD'ye 'mesaj' olarak başının kesilmesinden endişe ediliyor,1721, tartışmak
" Irak Sağlık Bakanlığı, IŞİD savaşçılarının Ebola'ya yakalandığına dair haberlerin 'yanlış' olduğunu söyledi",1669, tartışmak
 Yeni Ses Kayıtları Michael Brown'ın 11 Kez Vurulduğunu Gösteriyor,816, kabul etmek
 Yeni IŞİD videosu militanların ABD tarafından Kobani yakınlarına hava yoluyla atılan silahları ele geçirdiğini gösteriyor,2404, tartışmak
" FB'deki Kadın: 41 Yaşındayım, İnterseks'im ve İlk Buluşmada Michael Phelps'le Sikiştim",1342, tartışmak
 Charlie Hebdo saldırısı komplo teorilerini yayınlamak için sahte BBC Haber sitesi kuruldu,1683, aynı fikirde olmamak
 20 yıllık burger: McDonald's Quarter Pounder 20 yıl sonra ürkütücü bir şekilde yeni görünüyor,1586, tartışmak
" Londra hip-hop sanatçısı Abdel-Majed Abdel Bary, Amerikalı gazeteci James Foley'nin katilinin bulunması için yürütülen soruşturmanın baş şüphelisi",1079, tartışmak
 Gerçekten adanmış bir adam kabız olan japon balığının ameliyatı için 460 dolar harcadı,1707, kabul etmek
 Macaulay Culkin Öldü: Oyuncu Bir Kez Daha Ölüm Sahtekarlığının Kurbanı Oldu,198, kabul etmek
 Vogue ve Sıçanlar Savaşında Sıçanlar Kazanıyor,1149, tartışmak
IŞİD'in savaşçılarının 'virüse yakalanması' sonrasında İngiltere'ye EBOLA saldırısı başlatabileceği endişesi,567, tartışmak
 Michael Brown Saldırısının Ses Kaydının Ortaya Çıktığı Bildirildi,1934, tartışmak
 Yeni Keşfedilen Toplu Mezar Kayıp Meksikalı Öğrencilerle Bağlantılı,1109, aynı fikirde olmamak
" İtalya'da yakalanan 8 fit 9 inç boyundaki ve 19 taş ağırlığındaki dev yayın balığının, olta ve misinayla şimdiye kadar yakalanan en büyük yayın balığı olduğu düşünülüyor",1028, kabul etmek
" IŞİD, Amerikalı foto muhabiri James Wright Foley'i kafasını kesti, daha fazlasının geleceğini tehdit etti",1679, tartışmak
 Bahşiş vermeyi unutmayın...özellikle 300.000$ harcarsanız,2130, tartışmak
" Tiger Woods'un uyuşturucu testinde başarısız olduğu için cezalı olmadığı, menajeri ve bir PGA yetkilisi tarafından belirtildi",147, kabul etmek
IŞİD katili 'Cihatçı John'un adı Muhammed Emwazi olarak açıklandı,2123, tartışmak
" ABD'li Yetkili, Amerikalı Rehine Luke Somers'ın Yemen'de Kurtarma Girişimi Sırasında Öldürüldüğünü Söyledi",1844, tartışmak
 Tropikal örümcek apandisit yarasından insanın derisinin altına girdi ve orada ÜÇ GÜN yaşadı,761, kabul etmek
 Acil: IŞİD Lideri 'Ebubekir el-Bağdadi' Öldürüldü! / Fotoğraf,1254, aynı fikirde olmamak
"İZLE: Stan Beaton, telefon mühendisleri ölen eşinin sonsuza dek kaybolduğunu düşündüğü değerli sesli mesaj kaydını bulduğunda sevinç gözyaşları döküyor",996, kabul etmek
 Led Zeppelin'in Robert Plant'i 924 milyon dolarlık yeniden birleşme sözleşmesini yırttı,734, tartışmak
" 'Teletubbies' Güneş Bebeği: Hayranlar Jess Smith İçin Çılgına Döndü, 19",339, kabul etmek
" Seth Rogen, Christian Bale'in Steve Jobs Filminde Apple'ın Steve Wozniak'ını Canlandırmaya Hazırlanıyor (Özel)",586, tartışmak
 Kansas City'de Ebola Korkusu,260, tartışmak
 Sosyal medyada #Hairgate trendi: iPhone 6 kullanıcıları kopan saçlarından şikayetçi,2476, tartışmak
 IŞİD'in Irak'ta Amerikalı Foto Muhabirinin Kafasını Kestiği İddia Edildi,2495, tartışmak
 Michael Zehaf-Bibeau Kimdir? Ottawa Saldırganı Şüphelisi Kanadalı Yetkililer Tarafından Tespit Edildi,2214, kabul etmek
 Michelle Obama'nın Saçları Suudi TV'de Tamamen Sansürsüz Göründü,1975, kabul etmek
 Ocak 2015'te Gezegensel Hizalamanın Yer Çekimini Azaltması Sahtekarlığı: 'Ocak Ayında 5 Dakika Boyunca Yer Çekimini Azaltarak Kısmi Ağırlıksızlığa Neden Olacak' Tamamen Sahte,2413, kabul etmek
 “Axl Rose 2014'te öldü”: Guns N' Roses'ın solisti internetteki ölüm yalanıyla öldürüldü,1859, kabul etmek
" Öfkeli kalabalık, tecavüzcüyü kasap dükkanına sürükledikten sonra et bıçağıyla cinsel organını kesti",2115, kabul etmek
" DNA testi, çocuğun DEAŞ lideri Ebubekir el-Bağdadi'nin kızı olduğunu doğruladı",1877, aynı fikirde olmamak
Nikaragua 'göktaşı' konusunda sorular gündeme geldi,1661, tartışmak
 Kim Jong-un 'peynir yemekten o kadar şişmanladı ki ayak bileklerini kırdı',2053, tartışmak
 Teksas Kamyonu İslamcı Militanlarla Birlikte Suriye'de Sonlandı,2015, kabul etmek
 Kanadalı Asker Ottawa Savaş Anıtı'nda Vuruldu: Rapor,1089, tartışmak
 Michael Brown'ın vurulduğuna dair iddia edilen ses kaydı ortaya çıktı,1461, tartışmak
 Banksy tutuklama aldatmacası: Sokak sanatçısının kimliğinin ortaya çıktığına dair sahte bir raporla internet kandırıldı,2468, kabul etmek
 IŞİD Militanlarının Ebola'ya Yakalandığı İddia Edildi,1669, tartışmak
" Öfkeli kalabalık, tecavüz girişimi iddiasıyla bir adamın cinsel organını kasap bıçağıyla kesti",2005, kabul etmek
 Axl Rose Öldü mü? Guns N' Roses Şarkıcısı Öldü '52 Yaşında Batı Hollywood Evi' Sahte,2166, kabul etmek
 Nijerya ve Boko Haram 'ateşkes ve kızların serbest bırakılması konusunda anlaştı',1588, tartışmak
 IŞİD lideri Ebubekir el-Bağdadi'nin eşi ve oğlu Lübnan'da gözaltına alındı,2337, aynı fikirde olmamak
 İslamcı internet siteleri İsrailli-Kanadalı kadının DEAŞ tarafından kaçırıldığını iddia ediyor: haber,2302, tartışmak
 Saddam Hüseyin'in pilotları IŞİD grubuna eğitim veriyor,1341, tartışmak
" 'Star Wars VII' Haberleri, Güncelleme: JJ Abrams Filmin Yaz Aylarında Vizyona Girmesini Mi İstiyor?",1352, tartışmak
" Fotoğrafta: 58 yaşındaki kahraman çavuş, silahlı saldırgan Michael Zehaf-Bibeau'yu öldürdükten birkaç dakika sonra elinde silahla Parlamento'da yürüyor",1356, tartışmak
 #Saçgate: iPhone 6 kullanıcıları cihazın saç çektiğini söylüyor,1769, tartışmak
 Hastane: Kansas City'de Ebola nedeniyle tedavi edilmeyen bir adam,2501, kabul etmek
 Bütün köpekler cennete mi gider? Papa yaslı çocuğa: 'Cennet Tanrı'nın bütün yaratıklarına açıktır' dedi,1651, kabul etmek
Ebola Salgını 2015 Güncellemesi: IŞİD Savaşçıları Ölümcül Virüse Yakalanmış Olabilir,1669, tartışmak
" Irak, Lübnan'da gözaltına alınan kadının Bağdadi'nin eşi olmadığını söyledi",703, kabul etmek
BAKIN: Kaliforniyalı evsiz adam 100 dolarlık bağışını başkalarına yiyecek vermek için kullanıyor,1245, kabul etmek
 Boko Haram Nijerya'nın Ateşkes İddiasını Reddetti,1885, kabul etmek
 Sahte 'Banksy Londra'da Tutuklandı' Hikayesi İnterneti Tekrar Aldattı,1884, kabul etmek
" Batmobile ""Batman v Superman: Adaletin Şafağı"" Setinden Çalındı, Zack Snyder Kimin Yaptığını Biliyor",2062, tartışmak
 IŞİD Irak'ta Amerikalı Foto Muhabirinin Başını Kesti,1744, tartışmak
 Saf Kötülük: İslam Devleti Amerikalı Gazeteci James Wright Foley'i Kafasını Kesti,2388, tartışmak
 Nikaragua'nın Başkenti Managua'da Küçük Meteor Düştü,2264, tartışmak
 Tropikal örümcek 'bir adamın derisinin altına yara iziyle girdi' - video raporu,1864, tartışmak
 SON DAKİKA: IŞİD Amerikalı Gazeteci James Wright Foley'i Başını Kesti,2067, kabul etmek
" Hayır, Banksy tutuklanmadı (iç çekiş)",1301, kabul etmek
 Libya: Kayıp Libya Uçakları Güvenlik Endişelerine Yol Açtı,2448, tartışmak
 IŞİD videosu kaçırılan gazeteci James Foley'nin kafasının kesildiğini iddia ediyor,1744, tartışmak
 Ferguson isyanları: Michael Brown'ın vurulması ses kaydında kaydedilmiş olabilir,2345, tartışmak
" DSÖ, Irak'ta şüpheli Ebola vakalarına ilişkin haberlerin asılsız olduğunu söylüyor",2025, tartışmak
 KANYE WEST GELECEKTEKİ TÜM ÖDÜL GÖSTERİLERİNE KATILMAYACAK,514, aynı fikirde olmamak
 Küçük Meteor Managua'ya Çarptı,1213, aynı fikirde olmamak
" IŞİD, Amerikalı gazetecinin kafasını kestiğini iddia ediyor",1721, tartışmak
 İnfazcılar tecavüzcünün penisini kesti,1959, kabul etmek
 Devam Eden Şiddet Boko Haram Ateşkesini Tehlikeye Atıyor,1761, tartışmak
 Yeni Bir iOS 8 Hatası Tüm iCloud Belgelerinizi Silebilir,1351, tartışmak
 Bu Hafta Garip Haberlerde: Korkunç İnsan Hapşırdığı İçin Yaşlı Kadına Tokat Attı,1839, kabul etmek
 IŞİD'e Daha Fazla Amerikan Silahı,1363, kabul etmek
" Rahibe, mide ağrısından şikayet ettikten sonra sürpriz bir bebek doğurdu",1828, tartışmak
 Batmobil Detroit'te mi Çalındı?,2135, tartışmak
 Pentagon: Somali'de hava saldırısında terör lideri öldürüldü,981, kabul etmek
" Podcast: Brown Moses, Irak ve Suriye üzerinde uçanlar hakkında konuşuyor",2443, tartışmak
" Ebola Frisco 2014: Hasta, Görünür Thomas Eric Duncan İletişiminden Sonra Virüs Belirtileri Gösteriyor",1758, tartışmak
 Ottawa Silahlı Saldırganı Michael Zehaf-Bibeau Olarak Tanımlandı,1178, tartışmak
" James Foley: Amerikalı Gazeteci James Wright Foley, Yeni IŞİD Videosunda Başı Kesildi [Son Dakika Haberleri]",1589, kabul etmek
"Şirket, Michael Brown'ın vurulması sırasında kaydedilen sesin doğru olduğunu söylüyor",1916, tartışmak
 Haberlere göre Jose Canseco kazara vurularak yaralandı,1154, tartışmak
" Kuzey Kore diktatörü Kim Jong-un, askeri tur sırasında iki ayağını kırdıktan sonra ameliyat oldu",859, tartışmak
Michael Phelps'in İddiaya Göre Kız Arkadaşı İnterseks Olarak Doğduğunu Açıkladı,1820, kabul etmek
" Boko Haram ateşkesi yalanladı, kaçırılan kızların evlendiğini söyledi",2463, tartışmak
 IŞİD militanı 'Cihatçı John' medya tarafından açıklandı,2202, tartışmak
" Vandallar 2,5 milyon dolarlık Bugatti'ye kaba bir boya işi ekledi (ancak sahibi için şans eseri bunun bir aldatmaca olduğu ortaya çıktı)",1320, tartışmak
 ABD Deniz Piyadesi Afganistan'da başından vurularak kurtuldu,2360, kabul etmek
 SON DAKİKA GÜNCELLENDİ: IŞİD'İN KOBANİ'DE KİMYASAL SİLAH KULLANDIĞI İDDİASI,1369, tartışmak
 Michael Brown'ın vurulduğuna dair iddia edilen ses kaydı yayımlandı,2250, tartışmak
 İHA'LARI GÖNDERİN: Predator İHA'ları Suriye'deki DEAŞ karargahının üzerinde uçtu,1501, kabul etmek
 Christian Bale'in İstifa Etmesiyle Steve Jobs'u Kim Oynamalı?,945, aynı fikirde olmamak
" NASA, Nikaragua Meteorit Raporları Hakkında Şüpheleri Artırıyor",961, aynı fikirde olmamak
 'Batman V Superman: Adaletin Şafağı' Setinden Batmobil Çalındı mı? Raporda Batmobil Modellerinden Birinin Kayıp Olduğu İddia Ediliyor! Detroit Yerlileri Sorumlu mu?,1459, tartışmak
" Mohammed Emwazi: IŞİD katili olarak tanımlanan 'Cihatçı John', 2010 yılında Afrika'da safari tatilindeyken MI5 tarafından 'durduruldu'",2202, tartışmak
 Lübnan 'DEAŞ liderinin kızını ve eski eşini tutuyor',2283, tartışmak
" IŞİD, Amerikalı foto muhabiri James Wright Foley'i kafasını kesti, daha fazlasının geleceğini tehdit etti",1966, kabul etmek
" ABD, El Kaide Bağlantılı Somali Grubunun Liderinin Öldüğünü Söyledi",1176, tartışmak
 NASA: 4 Ocak 2015'te Gezegenlerin Hizalanması Yerçekimini 5 Dakikalığına Azaltarak Kısmi Ağırlıksızlığa mı Neden Olacak???,1123, tartışmak
" Meksika, toplu mezarda kayıp 43 öğrencinin bulunup bulunmadığını araştırıyor",1822, tartışmak
" BAKIN: Kongre üyesi, IŞİD militanlarının Teksas sınırını geçmeye çalışırken yakalandığını iddia ediyor",2016, tartışmak
" Nijerya, Boko Haram ile ateşkesin kabul edildiğini duyurdu",531, tartışmak
" Hayır, Irak'ta herhangi bir Ebola vakası yok",1040, tartışmak
 Rapor: Christian Bale Steve Jobs'ı Oynayacak,2455, tartışmak
" Kuzey Kore lideri Kim Jong-un'un gizemli hastalığı aslında iki kırık ayak bileği, diyor gazete",2053, tartışmak
"Arkadaşları için yiyeceğe 100 dolar bağış yaptıktan sonra yemek ve otel konaklaması alan evsiz adam, yeni bir tanığın gizlice filme alınmış olmasının mümkün olmadığında ısrar etmesine rağmen bunun bir aldatmaca OLMADIĞINDA ısrar ediyor",1922, tartışmak
" McDonald's Ocak Ayında Fazla Kilolu Müşterilerine Hizmet Vermeyi Durduracak mı? Hayır, '15/01/2015' Hikayesi Sahte",2184, aynı fikirde olmamak
 Evsiz Adamın 100 Dolarla İyi İşler Yaptığı Videosu Tamamen Uydurma Bir Aldatmaca mıydı!?,1611, tartışmak
 IŞİD militanları Kürtlere gönderilmesi planlanan silahları ele geçirdi,2172, kabul etmek
" İzle: ABD Deniz Piyadesi, Taliban keskin nişancısı tarafından vurulduktan sonra kaskı sayesinde kurtarıldı",743, kabul etmek
" 'Amerikan bombalaması ölüm fermanımı imzaladı': Kayıp ABD'li gazeteci James Wright Foley, Obama'ya bir uyarı olarak IŞİD'in korkunç videosunda başını kesmesine rağmen yılmadan ölüme gidiyor",847, tartışmak
 Yemen'deki Amerikan rehine askeri operasyonla serbest bırakıldı-Savunma Bakanlığı,1649, tartışmak
 Christian Bale Steve Jobs'u canlandırmayacak,1217, tartışmak
" Tropikal örümcek, bir adamın derisinin altına yara iziyle giriyor",1860, kabul etmek
" Tur, ajan: Tiger Woods yasaklanmadı",1718, kabul etmek
 Nikaragua'nın başkenti Managua'da meteor krater açtı,1731, kabul etmek
" Kim Yo-jong Görevde: Kim Jong-un'un Kız Kardeşi, Hastalık Sırasında Kuzey Kore Diktatörünün Yerini Aldı",2473, tartışmak
"ESPN, NFL'nin imajını tamamen erkeklerden oluşan aile içi şiddet tartışmasıyla kurtaracak",2181, aynı fikirde olmamak
"Kanada, Ottawa'daki silahlı saldırının olası şüphelisi olarak Michael Zehaf-Bibeau'yu soruşturuyor - kaynak",440, tartışmak
" Lübnan, El Bağdadi'nin eşini ve oğlunu gözaltına aldı",1192, tartışmak
Nikaragua 'göktaşı' konusunda sorular gündeme geldi,885, tartışmak
RAPOR: Batmobile Detroit'te Çalınmış Olabilir,1751, tartışmak
 Sugarhill Gang'in kurucu ortağı Big Bank Hank öldü,2351, kabul etmek
 IŞİD militanları ABD'li gazeteci James Foley'i öldürdüğünü iddia etti,2450, tartışmak
 Boko Haram ateşkes anlaşması yaptığını yalanladı,1821, tartışmak
 1970'lerden Bir Lego Setinden Ebeveynlere Mektup Cinsiyet Eşitliği İçin Önemli Bir Mesaj İçeriyor,1582, kabul etmek
" Yetkililer, IŞİD Üyelerinin Musul'da Ebola'ya Yakalandığına Dair Irak Medyası Haberlerini Yalanladı",2075, tartışmak
 6 gizli toplu mezarda kayıp Meksikalı öğrenciler olabilir,2342, tartışmak
ACİL: IŞİD lideri Ebubekir el-Bağdadi'nin ABD hava saldırıları sonucu öldürüldüğü iddia edildi,1634, tartışmak
" Manastırdaki rahibe bir bebek doğurdu Manastır: ""Bir kız kardeş var"" [Google Translate]",1720, tartışmak
"Kanadalı yetkili, Ottawa'da ölen silahlı saldırganın Michael Zehaf-Bibeau olduğunu tespit etti",298, tartışmak
 IŞİD'in infazcısı 'Cihatçı John'un Muhammed Emwazi olduğu ortaya çıktı,1800, tartışmak
 Nijeryalılar Boko Haram'ın 'ateşkesinin' ihlal edilmesinin ardından kızların serbest bırakılmasından şüphe ediyor,2403, tartışmak
" Meksika, Kayıp Öğrencilerin İlk Toplu Mezarlarda Bulunmadığını Söyledi",1109, kabul etmek
 Örümcek turistin midesinden girip göğsüne kadar girdi,1819, kabul etmek
" 'NASA, Dünya'nın Aralık Ayında 6 Gün Boyunca Tam Karanlık Yaşayacağını Doğruladı' Sahte Haber Hikayesi Viral Oldu",2521, kabul etmek
 #Saçgate: iPhone 6 kullanıcıları cihazın saç çektiğini söylüyor,2276, tartışmak
 'Hairgate': iPhone 6 kullanıcıları 'bendgate' sonrası Apple'ın son sorunuyla karşı karşıya,109, tartışmak
 Gateway Uzmanı,1079, kabul etmek
 Apple Watch Gold Edition'ın 1200 dolardan satışa sunulacağı söyleniyor: Satın alır mısınız?,424, tartışmak
" Bu çocuk neredeyse ölüyordu, şimdi Marvel'ın Magneto'su gibi bir süper gücü var",2215, kabul etmek
" Irak, Lübnan'da gözaltına alınan kadının Bağdadi'nin eşi olmadığını söyledi",2337, kabul etmek
" Yakında Marijuana New York'ta Tutuklanmaya Değil, Cezaya Yol Açabilir",1406, tartışmak
 IŞİD Irak'ta Amerikalı Foto Muhabirinin Başını Kesti,632, tartışmak
"Köpek, eşyalarının bulunduğu bavuluyla birlikte tren istasyonunun dışında terk edilmiş halde bulundu",1000, kabul etmek
 IŞİD: Kaçırılan kurbanı aramak için militanların üssünü ziyaret eden çaresiz anneye 'Oğlunuzu yediniz' denildi,2219, tartışmak
 Adam Kızları Etkilemeyen Penisini Kesti,1434, tartışmak
 Kenya'nın Fidel'i yerine Küba'nın Castro'sunun yas tutması kafaları karıştırdı,2028, tartışmak
 Borno eyaletinde şiddet artarken Boko Haram ateşkesi göz ardı edildi,1540, kabul etmek
 IŞİD militanları klor gazıyla 300 Irak askerini öldürdü,1590, kabul etmek
 NET Ekstra: Ölülerden dönen Katolik rahip Tanrı'nın dişi olduğunu iddia ediyor,603, kabul etmek
 Boko Haram ile iddia edilen ateşkese rağmen Nijerya'da isyancılar öldürüldü,1630, tartışmak
" Bendim! 19 yaşındaki öğrenci, gökyüzündeki Teletubbies'in kıkırdayan bebeği olduğunu ve kendisine sadece 250 £ ve bir kutu oyuncak ödendiğini açıkladı",769, kabul etmek
 Rapor: IŞİD Lideri Ebubekir El Bağdadi ABD Hava Saldırısında Suikastla Öldürüldü,731, tartışmak
 Papa Francis'in cennette evcil hayvan beslemediği ortaya çıktı yorumu,1371, aynı fikirde olmamak
 IŞİD Ebola'ya Yakalanıyor,1122, tartışmak
" Hayır, Tiger Woods'un Mälaren Gölü'ndeki bir adayı satması değil",1888, aynı fikirde olmamak
" Yetkililer, IŞİD liderinin ailesinin Lübnan tarafından tutuklandığını söyledi",1004, tartışmak
 İzle: ABD'li denizci Afganistan'da Taliban keskin nişancısının kafasından vurularak öldürüldü,743, kabul etmek
" New York'ta Marihuana Tutuklama Değil, Ceza Anlamına Gelebilir",2372, tartışmak
 RAPOR: LİBYA'DAN ÇALINAN JET UÇAKLARI 11 EYLÜL'DE BİZE SALDIRI İÇİN KULLANILABİLİR,1865, tartışmak
" Detroit'te Batmobile mi çalındı? Güzelmiş, joker!",1737, kabul etmek
